,fold,layer_size,momentum_value,activation_value,feature_number,score
0,0,100,0,logistic,1,0.5011086474501109
1,1,100,0,logistic,1,0.5222222222222223
2,2,100,0,logistic,1,0.516629711751663
3,3,100,0,logistic,1,0.5066666666666667
4,4,100,0,logistic,1,0.5144124168514412
5,5,100,0,logistic,1,0.5088888888888888
6,6,100,0,logistic,1,0.5144124168514412
7,7,100,0,logistic,1,0.5088888888888888
8,8,100,0,logistic,1,0.5099778270509978
9,9,100,0,logistic,1,0.5133333333333333
10,0,100,0,logistic,2,0.541019955654102
11,1,100,0,logistic,2,0.5555555555555556
12,2,100,0,logistic,2,0.5587583148558758
13,3,100,0,logistic,2,0.5355555555555556
14,4,100,0,logistic,2,0.5587583148558758
15,5,100,0,logistic,2,0.54
16,6,100,0,logistic,2,0.5454545454545454
17,7,100,0,logistic,2,0.5555555555555556
18,8,100,0,logistic,2,0.5254988913525499
19,9,100,0,logistic,2,0.5555555555555556
20,0,100,0,logistic,3,0.5809312638580931
21,1,100,0,logistic,3,0.5977777777777777
22,2,100,0,logistic,3,0.6031042128603105
23,3,100,0,logistic,3,0.5688888888888889
24,4,100,0,logistic,3,0.5831485587583148
25,5,100,0,logistic,3,0.58
26,6,100,0,logistic,3,0.5787139689578714
27,7,100,0,logistic,3,0.5755555555555556
28,8,100,0,logistic,3,0.5809312638580931
29,9,100,0,logistic,3,0.5755555555555556
30,0,100,0,logistic,4,0.5920177383592018
31,1,100,0,logistic,4,0.6333333333333333
32,2,100,0,logistic,4,0.6341463414634146
33,3,100,0,logistic,4,0.5977777777777777
34,4,100,0,logistic,4,0.5942350332594235
35,5,100,0,logistic,4,0.5911111111111111
36,6,100,0,logistic,4,0.6097560975609756
37,7,100,0,logistic,4,0.6066666666666667
38,8,100,0,logistic,4,0.6208425720620843
39,9,100,0,logistic,4,0.6111111111111112
40,0,100,0,logistic,5,0.6385809312638581
41,1,100,0,logistic,5,0.6444444444444445
42,2,100,0,logistic,5,0.6385809312638581
43,3,100,0,logistic,5,0.6288888888888889
44,4,100,0,logistic,5,0.6319290465631929
45,5,100,0,logistic,5,0.6444444444444445
46,6,100,0,logistic,5,0.6452328159645233
47,7,100,0,logistic,5,0.6266666666666667
48,8,100,0,logistic,5,0.6008869179600886
49,9,100,0,logistic,5,0.6266666666666667
50,0,100,0,logistic,6,0.6629711751662971
51,1,100,0,logistic,6,0.6355555555555555
52,2,100,0,logistic,6,0.6119733924611973
53,3,100,0,logistic,6,0.6377777777777778
54,4,100,0,logistic,6,0.647450110864745
55,5,100,0,logistic,6,0.6244444444444445
56,6,100,0,logistic,6,0.6341463414634146
57,7,100,0,logistic,6,0.6466666666666666
58,8,100,0,logistic,6,0.6430155210643016
59,9,100,0,logistic,6,0.6377777777777778
60,0,100,0,logistic,7,0.6696230598669624
61,1,100,0,logistic,7,0.6755555555555556
62,2,100,0,logistic,7,0.656319290465632
63,3,100,0,logistic,7,0.6622222222222223
64,4,100,0,logistic,7,0.6718403547671841
65,5,100,0,logistic,7,0.64
66,6,100,0,logistic,7,0.6585365853658537
67,7,100,0,logistic,7,0.6777777777777778
68,8,100,0,logistic,7,0.6873614190687362
69,9,100,0,logistic,7,0.6533333333333333
70,0,100,0,logistic,8,0.6740576496674058
71,1,100,0,logistic,8,0.6666666666666666
72,2,100,0,logistic,8,0.6807095343680709
73,3,100,0,logistic,8,0.6844444444444444
74,4,100,0,logistic,8,0.6762749445676275
75,5,100,0,logistic,8,0.6777777777777778
