,fold,layer_size,momentum_value,activation_value,feature_number,score
0,0,100,0,relu,1,0.5121951219512195
1,1,100,0,relu,1,0.5111111111111111
2,2,100,0,relu,1,0.5121951219512195
3,3,100,0,relu,1,0.5111111111111111
4,4,100,0,relu,1,0.5121951219512195
5,5,100,0,relu,1,0.5111111111111111
6,6,100,0,relu,1,0.5055432372505543
7,7,100,0,relu,1,0.5177777777777778
8,8,100,0,relu,1,0.5144124168514412
9,9,100,0,relu,1,0.5088888888888888
10,0,100,0,relu,2,0.5343680709534369
11,1,100,0,relu,2,0.5555555555555556
12,2,100,0,relu,2,0.5565410199556541
13,3,100,0,relu,2,0.5311111111111111
14,4,100,0,relu,2,0.5587583148558758
15,5,100,0,relu,2,0.5444444444444444
16,6,100,0,relu,2,0.5609756097560976
17,7,100,0,relu,2,0.5377777777777778
18,8,100,0,relu,2,0.5609756097560976
19,9,100,0,relu,2,0.5422222222222223
20,0,100,0,relu,3,0.5964523281596452
21,1,100,0,relu,3,0.5622222222222222
22,2,100,0,relu,3,0.5809312638580931
23,3,100,0,relu,3,0.5577777777777778
24,4,100,0,relu,3,0.5742793791574279
25,5,100,0,relu,3,0.5888888888888889
26,6,100,0,relu,3,0.5831485587583148
27,7,100,0,relu,3,0.5777777777777777
28,8,100,0,relu,3,0.549889135254989
29,9,100,0,relu,3,0.5888888888888889
30,0,100,0,relu,4,0.6208425720620843
31,1,100,0,relu,4,0.6177777777777778
32,2,100,0,relu,4,0.5986696230598669
33,3,100,0,relu,4,0.62
34,4,100,0,relu,4,0.6319290465631929
35,5,100,0,relu,4,0.5866666666666667
36,6,100,0,relu,4,0.5831485587583148
37,7,100,0,relu,4,0.6288888888888889
38,8,100,0,relu,4,0.623059866962306
39,9,100,0,relu,4,0.6266666666666667
40,0,100,0,relu,5,0.6274944567627494
41,1,100,0,relu,5,0.6333333333333333
42,2,100,0,relu,5,0.6274944567627494
43,3,100,0,relu,5,0.6177777777777778
44,4,100,0,relu,5,0.6319290465631929
45,5,100,0,relu,5,0.6111111111111112
